No,ID,Nama,Kalori,Karbohidrat,Protein,Lemak,Jenis,Rating
1,,Abon,560,0,18.4,56.8,Daging,3.49
2,,Abon Ayam Gloria,220,20,14,10,Daging,2.71
3,,Abon Haruwan,1026,42.6,47.4,74,Ikan dan Makanan Laut,4.2
4,,Abon Ikan,870,72.2,54.4,40.4,Ikan dan Makanan Laut,4.09
5,,Abon Sapi,424,118.6,36,21.2,Daging,2.12
6,,Abon Sapi Gloria,260,24,24,12,Daging,3.32
7,,Abon Sapi Superindo,280,120,200,34,Daging,2.88
8,,Agar-Agar,0,0,0,0.4,Konfeksioneri,2.91
9,,Aglio e Olio,496,16,0,0,Serealia,2.81
10,ER001,Alpukat ,170,15.4,1.8,13,Buah,2.91
11,ER002,Anggur,60,13.6,1,0.4,Buah,2.81
12,,Apang Kukus,404,93.4,6,0.6,Serealia,4.34
13,ER004,Apel ,116,29.8,0.6,0.8,Buah,2.34
14,ER011,Apel Beludru ,78,19.4,1.4,0.4,Buah,3.96
15,ER102,Apel Bintang ,128,16,2,6.2,Buah,4.29
16,ER042,Apel Kayu ,240,41.6,7,5,Buah,2.57
17,ER003,Apel Malang ,114,25.6,1,0.8,Buah,4.18
18,ER033,Apel Melayu ,98,19.2,4.6,0.4,Buah,3.36
19,ER034,Apel Mete ,128,31.6,1.4,1.2,Buah,3.1
20,AP028,Apem Kue,296,67.8,4,1,Serealia,2.3
21,,Arbei,74,16.6,1.6,1,Buah,3.4
22,,Arwan Sirsir,554,21.4,4.8,50,Sayuran,2.27
23,,Asinan Bogor,196,29.6,7.8,5.2,Sayuran,4.23
24,CP031,Atom Kacang,1066,57.6,55.6,76.2,Kacang-kacangan,3.67
25,FP001,Ampela Ayam Goreng,540,19.8,64.6,22.4,Daging,4.41
26,,Ayam Bacem,294,16.6,27.4,13.4,Daging,4.08
27,,Ayam Dideh,150,1.4,27.6,3.8,Daging,2.93
28,,Ayam Geprek,400,0.8,70.4,52,Daging,3.41
29,,Ayam Goreng Texas (Sayap),590,3,68,32,Daging,4.65
30,,Ayam Goreng Texas (Dada),676,0.8,70.4,41.2,Daging,2.82
31,FP024,Ayam Goreng Kalasan,550,2.6,74.8,24.4,Daging,2.17
32,FP025,Ayam Goreng Kentucky (Dada),596,0.2,68.4,33.6,Daging,4.91
33,FP026,Ayam Goreng Kentucky (Paha),572,2.2,64.2,32.2,Daging,4.72
34,FP027,Ayam Goreng Kentucky (Sayap),594,3.2,71.8,30.4,Daging,2.71
35,,Ayam Goreng Mbok Berek (Dada),590,2,78.4,27.2,Daging,4.35
36,,Ayam Goreng (Paha),574,3.4,62,31.4,Daging,3.42
37,FP029,Ayam Goreng Pasundan (Dada),492,1.4,75.8,18,Daging,3.78
38,FP030,Ayam Goreng Pasundan (Paha),490,0.6,66.2,22.8,Daging,3.54
39,,Ayam Goreng Pioneer (Dada),590,1.2,74.8,29.4,Daging,3.32
40,FP032,Ayam Goreng Sukabumi (Dada),488,2,73.4,18.4,Daging,3.38
41,FP033,Ayam Goreng Sukabumi (Paha),566,1,71.4,28.6,Daging,3.1
42,FP049,Ayam Kalio ,406,8.8,32,27,Daging,3.06
