ID,Nama,Kalori,Karbohidrat,Protein,Lemak,Jenis,Rating,,,,
,Abon,560,0,18.4,56.8,Daging,3.49,,,,
,Abon ayam gloria,220,20,14,10,Daging,2.71,,,,
,Abon haruwan,1026,42.6,47.4,74,Ikan dan Makanan Laut,4.2,,,,
,Abon Ikan,870,72.2,54.4,40.4,Ikan dan Makanan Laut,4.09,,,,
,Abon sapi,424,118.6,36,21.2,Daging,2.12,,,,
,Abon sapi gloria,260,24,24,12,Daging,3.32,,,,
,Abon sapi superindo,280,120,200,34,Daging,2.88,,,,
DP022,Acar bogor sayur,196,29.6,7.8,5.2,Sayuran,4.7,,,,
,Agar-agar,0,0,0,0.4,Konfeksioneri,2.91,,,,
,Aglio e olio,496,16,0,0,Serealia,2.81,,,,
ER001,Alpukat ,170,15.4,1.8,13,Buah,2.91,,,,
ER002,Anggur,60,13.6,1,0.4,Buah,2.81,,,,
,Apang kukus,404,93.4,6,0.6,Serealia,4.34,,,,
ER004,Apel ,116,29.8,0.6,0.8,Buah,2.34,,,,
ER011,Apel beludru ,78,19.4,1.4,0.4,Buah,3.96,,,,
ER102,Apel bintang ,128,16,2,6.2,Buah,4.29,,,,
ER042,Apel kayu ,240,41.6,7,5,Buah,2.57,,,,
ER003,Apel malang ,114,25.6,1,0.8,Buah,4.18,,,,
ER033,Apel Melayu ,98,19.2,4.6,0.4,Buah,3.36,,,,
ER034,Apel mete ,128,31.6,1.4,1.2,Buah,3.1,,,,
AP028,Apem kue,296,67.8,4,1,Serealia,2.3,,,,
,Arbei,74,16.6,1.6,1,Buah,3.4,,,,
,Arwan sirsir,554,21.4,4.8,50,Sayuran,2.27,,,,
,Asinan Bogor sayuran,196,29.6,7.8,5.2,Sayuran,4.23,,,,
CP031,atom kacang,1066,57.6,55.6,76.2,Kacang-kacangan,3.67,,,,
,Ayam,604,0,36.4,50,Daging,3.21,,,,
FP001,Ayam ampela goreng,540,19.8,64.6,22.4,Daging,4.41,,,,
,Ayam bacem,294,16.6,27.4,13.4,Daging,4.08,,,,
FR005,Ayam daging ,596,0,36.4,50,Daging,2.57,,,,
,Ayam dideh/darah ,150,1.4,27.6,3.8,Daging,2.93,,,,
,Ayam geprek sa'i,400,0.8,70.4,52,Daging,3.41,,,,
,Ayam goreng church texa sayap,590,3,68,32,Daging,4.65,,,,
,Ayam goreng church texas dada,676,0.8,70.4,41.2,Daging,2.82,,,,
FP024,Ayam goreng Kalasan paha,550,2.6,74.8,24.4,Daging,2.17,,,,
